filename,label
107.jpg,Transformer
108.jpg,Transformer
109.jpg,Transformer
11.jpg,Transformer
111.jpg,Transformer
114.jpg,Transformer
115.jpg,Transformer
116.jpg,Transformer
117.jpg,Transformer
118.jpg,Transformer
119.jpg,Transformer
120.jpg,Transformer
121.jpg,Transformer
122.jpg,Transformer
123.jpg,Transformer
125.jpg,Transformer
126.jpg,Transformer
127.jpg,Transformer
128.jpg,Transformer
129.jpg,Transformer
130.jpg,Transformer
131.jpg,Transformer
132.jpg,Transformer
133.jpg,Transformer
134.jpg,Transformer
136.jpg,Transformer
137.jpg,Transformer
138.jpg,Transformer
139.jpg,Transformer
140.jpg,Transformer
141.jpg,Transformer
142.jpg,Transformer
143.jpg,Transformer
144.jpg,Transformer
145.jpg,Transformer
147.jpg,Transformer
148.jpg,Transformer
149.jpg,Transformer
150.jpg,Transformer
151.jpg,Transformer
152.jpg,Transformer
153.jpg,Transformer
154.jpg,Transformer
155.jpg,Transformer
156.jpg,Transformer
158.jpg,Transformer
159.jpg,Transformer
160.jpg,Transformer
161.jpg,Transformer
162.jpg,Transformer
163.jpg,Transformer
164.jpg,Transformer
165.jpg,Transformer
166.jpg,Transformer
167.jpg,Transformer
169.jpg,Transformer
171.jpg,Transformer
172.jpg,Transformer
173.jpg,Transformer
174.jpg,Transformer
175.jpg,Transformer
176.jpg,Transformer
177.jpg,Transformer
178.jpg,Transformer
18.jpg,Transformer
180.jpg,Transformer
181.jpg,Transformer
182.jpg,Transformer
183.jpg,Transformer
184.jpg,Transformer
189.jpg,Transformer
19.jpg,Transformer
191.jpg,Transformer
192.jpg,Transformer
193.jpg,Transformer
194.jpg,Transformer
195.jpg,Transformer
196.jpg,Transformer
197.jpg,Transformer
198.jpg,Transformer
199.jpg,Transformer
200.jpg,Transformer
202.jpg,Transformer
203.jpg,Transformer
204.jpg,Transformer
205.jpg,Transformer
206.jpg,Transformer
207.jpg,Transformer
208.jpg,Transformer
209.jpg,Transformer
210.jpg,Transformer
211.jpg,Transformer
213.jpg,Transformer
214.jpg,Transformer
215.jpg,Transformer
216.jpg,Transformer
218.jpg,Transformer
219.jpg,Transformer
220.jpg,Transformer
221.jpg,Transformer
222.jpg,Transformer
225.jpg,Transformer
226.jpg,Transformer
227.jpg,Transformer
228.jpg,Transformer
23.jpg,Transformer
230.jpg,Transformer
231.jpg,Transformer
232.jpg,Transformer
233.jpg,Transformer
234.jpg,Transformer
236.jpg,Transformer
237.jpg,Transformer
238.jpg,Transformer
239.jpg,Transformer
240.jpg,Transformer
241.jpg,Transformer
242.jpg,Transformer
243.jpg,Transformer
244.jpg,Transformer
245.jpg,Transformer
247.jpg,Transformer
248.jpg,Transformer
249.jpg,Transformer
250.jpg,Transformer
251.jpg,Transformer
252.jpg,Transformer
253.jpg,Transformer
254.jpg,Transformer
255.jpg,Transformer
256.jpg,Transformer
258.jpg,Transformer
259.jpg,Transformer
260.jpg,Transformer
261.jpg,Transformer
262.jpg,Transformer
263.jpg,Transformer
264.jpg,Transformer
265.jpg,Transformer
266.jpg,Transformer
267.jpg,Transformer
269.jpg,Transformer
270.jpg,Transformer
271.jpg,Transformer
272.jpg,Transformer
273.jpg,Transformer
274.jpg,Transformer
275.jpg,Transformer
276.jpg,Transformer
277.jpg,Transformer
278.jpg,Transformer
280.jpg,Transformer
281.jpg,Transformer
282.jpg,Transformer
283.jpg,Transformer
284.jpg,Transformer
285.jpg,Transformer
286.jpg,Transformer
287.jpg,Transformer
288.jpg,Transformer
289.jpg,Transformer
291.jpg,Transformer
292.jpg,Transformer
293.jpg,Transformer
294.jpg,Transformer
295.jpg,Transformer
296.jpg,Transformer
297.jpg,Transformer
298.jpg,Transformer
299.jpg,Transformer
300.jpg,Transformer
302.jpg,Transformer
303.jpg,Transformer
304.jpg,Transformer
305.jpg,Transformer
306.jpg,Transformer
307.jpg,Transformer
308.jpg,Transformer
309.jpg,Transformer
310.jpg,Transformer
311.jpg,Transformer
313.jpg,Transformer
314.jpg,Transformer
315.jpg,Transformer
316.jpg,Transformer
317.jpg,Transformer
318.jpg,Transformer
319.jpg,Transformer
320.jpg,Transformer
321.jpg,Transformer
322.jpg,Transformer
324.jpg,Transformer
325.jpg,Transformer
326.jpg,Transformer
327.jpg,Transformer
328.jpg,Transformer
329.jpg,Transformer
330.jpg,Transformer
331.jpg,Transformer
332.jpg,Transformer
333.jpg,Transformer
387.jpg,Transformer
392.jpg,Transformer
40.jpg,Transformer
59.jpg,Transformer
66.jpg,Transformer
81.jpg,Transformer
93.jpg,Transformer
62_T113.jpg,Pole
63_T111.jpg,Pole
64_T111.jpg,Insulator
65_T111.jpg,Pole
66_T111.jpg,Insulator
67_T111.jpg,Insulator
68_T111.jpg,Insulator
69_T114.jpg,Insulator
70_T114.jpg,Insulator
71_T114.jpg,Pole
72_T114.jpg,Insulator
73_T114.jpg,Insulator
74_T118.jpg,Insulator
75_T118.jpg,Pole
76_T118.jpg,Insulator
77_T118.jpg,Insulator
78_T118.jpg,Pole
79_T118.jpg,Insulator
80_T118.jpg,Insulator
81_T115.jpg,Pole
82_T116.jpg,Insulator
83_T116.jpg,Insulator
84_T116.jpg,Light
85_T116.jpg,Light
86_T116.jpg,Insulator
87_T116.jpg,Insulator
88_T116.jpg,Insulator
89_T119.jpg,Pole
90_T117.jpg,Insulator
91_T117.jpg,Pole
92_T117.jpg,Light
93_T122.jpg,Insulator
94_T121.jpg,Insulator
95_T121.jpg,Insulator
96_T12.jpg,Insulator
97_T123.jpg,Pole
98_T123.jpg,Insulator
99_T120.jpg,Insulator
100_T125.jpg,Insulator
101_T125.jpg,Insulator
102_T124.jpg,Insulator
103_T124.jpg,Pole
104_T127.jpg,Insulator
105_T126.jpg,Insulator
106_T126.jpg,Pole
107_T128.jpg,Pole
108_T128.jpg,Light
109_T13.jpg,Pole
110_T13.jpg,Insulator
111_T132.jpg,Insulator
112_T132.jpg,Pole
113_T132.jpg,Light
114_T130.jpg,Pole
115_T129.jpg,Light
116_T131.jpg,Pole
117_T133.jpg,Pole
118_T133.jpg,Insulator
119_T133.jpg,Insulator
120_T133.jpg,Pole
121_T133.jpg,Pole
122_T133.jpg,Light
123_T133.jpg,Pole
124_T135.jpg,Insulator
125_T137.jpg,Insulator
126_T136.jpg,Insulator
127_T136.jpg,Pole
128_T134.jpg,Pole
129_T141.jpg,Insulator
130_T141.jpg,Insulator
131_T141.jpg,Insulator
132_T140.jpg,Insulator
133_T139.jpg,Light
134_T138.jpg,Pole
135_T138.jpg,Pole
136_T14.jpg,Light
137_T14.jpg,Insulator
138_T145.jpg,Insulator
139_T143.jpg,Insulator
140_T142.jpg,Insulator
141_T146.jpg,Pole
142_T144.jpg,Pole
143_T149.jpg,Insulator
144_T149.jpg,Insulator
145_T149.jpg,Insulator
146_T147.jpg,Pole
147_T147.jpg,Pole
148_T147.jpg,Insulator
149_T147.jpg,Insulator
150_T147.jpg,Pole
151_T147.jpg,Insulator
152_T147.jpg,Insulator
153_T15.jpg,Insulator
