"image","xmin","ymin","xmax","ymax","label"
"3%20(103).JPG",2129.1428571428573,21.038961038961045,2934.9350649350654,3888,"Pole"
"3%20(102).JPG",927.8181818181819,16.83116883116883,4441.324675324675,685.8701298701299,"Pole"
"3%20(1).JPG",2179.6363636363635,580.6753246753246,2747.688311688312,3841.714285714286,"Pole"
"3%20(10).JPG",2299.5584415584417,0,3263.1428571428573,3824.883116883117,"Pole"
"3%20(100).JPG",2307.974025974026,345.038961038961,2897.064935064935,2621.4545454545455,"Pole"
"3%20(106).JPG",1192.909090909091,33.66233766233766,4050,483.8961038961039,"Pole"
"3%20(104).JPG",2419.4805194805194,8.415584415584416,3086.4155844155844,2903.3766233766232,"Pole"
"3%20(107).JPG",2244.8571428571436,0,3033.818181818182,3126.3896103896104,"Pole"
"3%20(105).JPG",1256.025974025974,1754.6493506493507,4138.363636363636,2684.5714285714284,"Pole"
"3%20(108).JPG",1129.7922077922078,980.4155844155845,4289.844155844156,1944,"Pole"
"3%20(11).JPG",1946.1038961038962,900.4675324675325,3397.7922077922076,3067.4805194805194,"Transformer"
"3%20(11).JPG",0,2129.1428571428573,1430.6493506493507,3888,"Transformer"
"3%20(11).JPG",0,4.207792207792208,1458,1241.2987012987012,"Transformer"
"3%20(101).JPG",1382.2597402597403,1510.5974025974026,3877.4805194805194,2310.0779220779223,"Pole"
"3%20(109).JPG",919.4025974025974,1426.4415584415585,4262.493506493506,2629.87012987013,"Pole"
"3%20(111).JPG",448.12987012987014,1636.831168831169,4462.363636363636,2747.688311688312,"Pole"
"3%20(110).JPG",2162.805194805195,210.3896103896104,2781.3506493506493,3888,"Pole"
"3%20(113).JPG",2118.6233766233768,12.623376623376624,2876.0259740259744,3879.5844155844156,"Pole"
"3%20(112).JPG",2236.4415584415583,16.83116883116883,3044.337662337662,3888,"Pole"
"3%20(114).JPG",2240.6493506493507,1792.5194805194806,3359.9220779220777,3105.3506493506493,"Pole"
"3%20(115).JPG",2118.6233766233768,757.4025974025974,2947.5584415584417,3875.3766233766237,"Pole"
"3%20(116).JPG",2238.5454545454545,0,3143.220779220779,3858.5454545454545,"Pole"
"3%20(12).JPG",662.7272727272727,715.3246753246755,2158.597402597403,3155.844155844156,"Transformer"
"3%20(12).JPG",2791.87012987013,0,4184.649350649351,1725.1948051948052,"Transformer"
"3%20(120).JPG",2234.3376623376626,875.2207792207793,3122.1818181818185,3888,"Pole"
"3%20(119).JPG",1415.922077922078,782.6493506493507,3810.1558441558445,1594.753246753247,"Pole"
"3%20(117).JPG",2316.3896103896104,858.3896103896104,2985.4285714285716,3871.1688311688313,"Pole"
"3%20(118).JPG",1756.7532467532467,1144.5194805194806,4289.8441558441555,2070.2337662337663,"Pole"
"3%20(121).JPG",1946.1038961038962,0,3067.4805194805194,3883.7922077922085,"Pole"
"3%20(122).JPG",2354.2597402597403,732.1558441558442,2808.7012987012986,1186.5974025974026,"Pole"
"3%20(122).JPG",2265.896103896104,1232.8831168831168,3364.12987012987,2486.805194805195,"Transformer"
"3%20(123).JPG",2312.181818181818,1683.1168831168832,3183.194805194805,2840.2597402597403,"Transformer"
"3%20(123).JPG",2354.2597402597403,324,2741.3766233766232,3888,"Pole"
"3%20(124).JPG",2350.051948051948,576.4675324675325,3212.6493506493507,1763.064935064935,"Transformer"
"3%20(124).JPG",2339.5324675324678,4.207792207792208,2781.3506493506497,3875.3766233766237,"Pole"
"3%20(125).JPG",2295.3506493506493,1380.155844155844,3166.3636363636365,2558.3376623376626,"Transformer"
"3%20(125).JPG",2356.3636363636365,1283.3766233766235,2810.805194805195,3862.7532467532465,"Pole"
"3%20(13).JPG",1554.7792207792209,690.077922077922,2648.805194805195,3408.311688311688,"Pole"
"3%20(13).JPG",2697.194805194805,3223.1688311688313,3414.6233766233768,3888,"Transformer"
"3%20(128).JPG",2152.285714285714,622.7532467532468,3111.6623376623374,3875.3766233766237,"Pole"
"3%20(127).JPG",2610.935064935065,1784.1038961038962,3860.6493506493507,2343.7402597402597,"Pole"
"3%20(126).JPG",2206.987012987013,0,2981.220779220779,496.5194805194805,"Transformer"
"3%20(126).JPG",2253.2727272727275,0,2890.753246753247,3837.5064935064934,"Pole"
"3%20(129).JPG",1916.6493506493507,0,3019.090909090909,3888,"Pole"
"3%20(134).JPG",2411.064935064935,4.207792207792208,2787.6623376623374,3888.0000000000005,"Pole"
"3%20(131).JPG",1872.4675324675325,4.207792207792208,3181.090909090909,3871.1688311688313,"Pole"
"3%20(130).JPG",1992.3896103896104,1035.1168831168832,3099.038961038961,3862.7532467532465,"Pole"
"3%20(132).JPG",2350.051948051948,1615.7922077922078,2955.9740259740256,2297.4545454545455,"Pole"
"3%20(133).JPG",2459.4545454545455,719.5324675324675,2812.909090909091,3888,"Pole"
"3%20(136).JPG",2413.1688311688313,0,2854.9870129870133,3875.3766233766232,"Pole"
"3%20(135).JPG",2400.5454545454545,1523.2207792207791,2770.8311688311687,3888,"Pole"
"3%20(137).JPG",1346.493506493507,1161.3506493506493,4266.701298701299,1859.844155844156,"Pole"
"3%20(138).JPG",2398.4415584415583,1173.974025974026,2886.5454545454545,3888,"Pole"
"3%20(139).JPG",2383.714285714286,0,2760.311688311688,3012.779220779221,"Pole"
"3%20(142).JPG",2766.6233766233768,1296,3195.818181818182,1775.6883116883116,"Pole"
"3%20(14).JPG",424.987012987013,761.6103896103896,4636.987012987013,2011.3246753246754,"Pole"
"3%20(14).JPG",864.7012987012987,2562.5454545454545,1782,3888,"Transformer"
"3%20(14).JPG",3359.922077922078,2667.7402597402597,4294.051948051949,3888,"Transformer"
"3%20(143).JPG",2261.688311688312,227.22077922077924,2732.961038961039,3871.1688311688313,"Pole"
"3%20(140).JPG",2215.4025974025976,908.8831168831169,2808.701298701299,3888,"Pole"
"3%20(141).JPG",2430,8.415584415584416,2943.3506493506493,3888,"Pole"
"3%20(145).JPG",2371.090909090909,0,2842.363636363636,2133.3506493506493,"Pole"
"3%20(148).JPG",2560.4415584415583,2011.3246753246754,2951.7662337662337,2310.0779220779223,"Pole"
"3%20(148).JPG",2438.4155844155844,1274.961038961039,3056.961038961039,1910.3376623376626,"Transformer"
"3%20(146).JPG",2522.5714285714284,0,3006.4675324675322,3858.5454545454545,"Pole"
